DOOR_NO,ROOM,WIDTH,HEIGHT,THK,TYPE,DOOR_MATL,FRAME_MATL,FRAME_TYPE,JAMB,HEAD,SILL,DOOR_LABEL,FIRE_RATING,HARDWARE_SET,REMARKS
1012,PERSONAL CARE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,113,
1100A,WAITING,3'-0",7'-0",1 3/4",HG,SCWD,HM,21,J1,H3,,,,711,1
1100B,CORRIDOR,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,716,
1101,STUDENT TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1102,HEALTH OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J2,H2,,,,510,
1102A,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,810,
1104,EXAM/TREATMENT,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J2,H2,,,,110,
1106,EXAM/TREATMENT,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J2,H2,,,,110,
1200,CORRIDOR,3'-0",7'-0",1 3/4",HG,SCWD,HM,11,J1,H3,,,,713,1
1201,CONFERENCE,3'-0",7'-0",1 3/4",HG,SCWD,HM,12A,J2/H10,H2,S3,,,110,
1202,HEAD END ROOM,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,718,"1, 22"
1203,RECORDS STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,811,1
1204,SOCIAL WORKER,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1205,PSYCHOLOGIST,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1206,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S1,,,718,1
1207,FLEX OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1208,ELECTRICAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S1,60 MIN,60 MIN,718,"1, 22"
1209,OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1210,STAFF TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,112,
1211,OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,S3,,,510,
1271,PANTRY,4'-0",4'-8",2",S,,,,J12,H12,S4,,,,"OVERHEAD COILING COUNTER DOOR"
1300A,DINING,6'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H3,,,,445,2
1300B,DINING,6'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H3,,,,445,2
1300C,DINING,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J13,H13,S6,,,510,
1301A,TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S2,,,117,
1302A,CUSTODIAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S2,,,812,
1303,FURNITURE STORAGE,6'-0",7'-0",1 3/4",F,SCWD,HM,1,J6,H5,,,,822,1
1304A,PLATFORM STORAGE,6'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,822,1
1400,LOCKERS/SHOWER/TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,113,
1402,WATER SERVICE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,812,1
1403,CUSTODIAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,812,
1404,FIRE PUMP,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,90 MIN,90 MIN,812,1
1405,EMERGENCY ELECTRICAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,90 MIN,90 MIN,311,"1, 14"
1406,CENTRAL STORAGE,6'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,822,1
1407,ELECTRICAL,6'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,60 MIN,60 MIN,321,"1,2, 14"
1408,OPERATIONS OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,510,
1409,OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H1,,,,510,
1410,TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S2,,,112,
1410A,LOCKER,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S2,,,215,
1411,SOAP STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,710,14
1412B,CORRIDOR,3'-0",7'-0",1 3/4",NV,SCWD,HM,1,J1,H1,,,,512,
1413,SERVING,10'-0",8'-0",,,,,,J14,H14,,,,,OVERHEAD FOLDING GLASS DOOR
1413A,SERVING,10'-0",8'-0",,,,,,J14,H14,,,,,OVERHEAD FOLDING GLASS DOOR
1414,DISH/TRAY RETURN,4'-0",4'-8",2",S,,,,J12,H12,S4,,,,"OVERHEAD COILING COUNTER DOOR"
1417,DRY STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,812,
1418,PANTRY,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J6,H5,,,,710,
1500,GYMNASIUM,8'-0",7'-10",1 3/4",HG,HM,HM,2,J13,H13,S6,,,325,2
1500B,GYM STORAGE,6'-0",7'-0",1 3/4",F,HM,HM,1,J13,H13,S6,,,822,1
1500C,GYMNASIUM,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J13,H13,S6,,,211,13
1500D,VESTIBULE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J13,H13,S6,,,211,13
1501,SECURITY OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,510,
1503,OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J13,H13,S6,,,510,
1504,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,812,
1511,P.E. OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,510,
1600,VESTIBULE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J13,H13,,,,314,1
1600B,COMMUNITY LEARNING CENTER,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J2,H2,,,,317,
1601,CONFERENCE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,710,
1602,OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,510,
1603,OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,510,
1604,FAMILY RESOURCE ROOM,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,317,
1605,OFFICE,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,510,
1606,CLOSET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,110,
1607,TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,112,
1608,PANTRY,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,710,
1608A,PANTRY,4'-0",4'-8",2",S,,,,J15,H15,S8,,,,"OVERHEAD COILING COUNTER DOOR"
1609,CUSTODIAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,
1700,MEDIA CENTER,3'-0",7'-0",1 3/4",HG,SCWD,HM,21,,H3,,,,915,2
1701,WORKROOM/STORAGE,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J2,H2,S3,,,710,
1703,LARGE REHEARSAL,6'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H3,,,,445,
1704A,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,812,1
1704B,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,812,1
1705,SMALL REHEARSAL,3'-0",7'-0",1 3/4",HG,SCWD,HM,21,J1,H3,,,,915,
1710,OT/PT,3'-0",7'-0",1 3/4",NV,SCWD,HM,1,J1,H1,,60 MIN,60 MIN,511,1
1710A,TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1710B,OT/PT STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,812,
1711,SP. ED. OFFICE,3'-0",7'-0",1 3/4",NV,SCWD,HM,1,J1,H1,,60 MIN,60 MIN,511,1
1711A,SP. ED. STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,810,
1720,CUSTODIAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,812,
1721,ART STUDIO,3'-0",7'-0",1 3/4",HG,SCWD,HM,29,J1,H3,,,,713,
1721A,KILN,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,717,1
1721B,ART STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,717,1
1721C,ART STUDIO,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
1722,TECH ED LAB,3'-0",7'-0",1 3/4",HG,SCWD,HM,29,J1,H3,,,,713,
1722A,SUPPLY STORAGE/IT ADMIN,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J2,H2,,,,812,1
1722B,TECH ED LAB,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H1,,,,713,
1800,TELECOM/UTILITY,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,22
1801,MECH,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H1,S1,,,718,"1, 22"
1802,PLANNING,3'-0",7'-0",1 3/4",HG,SCWD,HM,10,J1,H4,S3,,,712,
1802A,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S3,,,812,1
1802B,STAFF TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,112,
1803,FACULTY LOUNGE,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H1,,,,712,
1803A,STAFF TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,112,
1804,ELECTRICAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,"1, 22"
1805,GRADE 3,3'-0",7'-0",1 3/4",HG,SCWD,HM,27,J1,H1,,,,713,
1805A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1805F,LOCKERS/SHOWER/TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J13,H13,S6,,,211,1
1805G,LOCKERS/SHOWER/TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S6,,,213,"1, 13"
1805H,LOCKERS/SHOWER/TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S6,,,213,"1, 13"
1806,RESOURCE,3'-0",7'-0",1 3/4",HG,SCWD,HM,13A,J1,H4,,,,712,
1807,GRADE 1,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
1807A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1808,GRADE 3,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
1808A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1809,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,"1, 22"
1810,GRADE 2,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
1810A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1811,GRADE 1,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
1811A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1812,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,"1, 22"
1813,GRADE 2,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
1813A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1900,PLANNING,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,S3,,,712,
1900A,STAFF TOILET,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J2,H2,S2,,,112,
1902,SPECIAL EDUCATION PK-2,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J1,H1,,,,713,
1902A,TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1903,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,"1, 22"
1904,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,812,
1905,PRE-K,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,,,,713,
1905A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1906,RESOURCE,3'-0",7'-0",1 3/4",HG,SCWD,HM,13A,J1,H4,,,,712,
1907,PRE-K,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,,,,713,
1907A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1908,KINDERGARTEN,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,,,,713,
1908A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1909,PRE-K,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,,,,713,
1909A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1910,KINDERGARTEN,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,,,,713,
1910A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
1911,KINDERGARTEN,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,,,,713,
1911A,PK-2 TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,117,
2000,SCIENCE LAB,3'-0",7'-0",1 3/4",NV,SCWD,HM,1,J1,H1,,60 MIN,60 MIN,716,
2000A,PREP/STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,717,
2100,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,
2101,MECHANICAL ROOM - CENTRAL,5'-0",7'-0",1 3/4",F,HM,HM,1,J13,H13,S5,90 MIN,90 MIN,321,
2200,FLEX,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2202,TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S2,,,117,
2203B,CUSTODIAL,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S2,,,
2204,PLANNING,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,S3,,,712,
2204A,STAFF TOILET,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J2,H2,S2,,,112,
2204B,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,812,
2205,MECH/UTILITY,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,
2206,SPECIAL EDUCATION 3-5,3'-0",7'-0",1 3/4",HG,SCWD,HM,27,J1,H1,,,,713,
2207,ELEVATOR CONTROL,3'-6",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,90 MIN,90 MIN,812,
2208,CORRIDOR,3'-0",7'-0",1 3/4",HG,SCWD,HM,13A,J1,H4,,,,712,
2209,FLEX,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2210,GRADE 5,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2211,GRADE 4,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2212,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,
2213,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,718,
2214,GRADE 5,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2215,GRADE 4,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2300,FLEX,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2300A,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,,,,812,
2300E,TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S2,,,117,
2302,PLANNING,3'-0",7'-0",1 3/4",HG,SCWD,HM,4,J1,H1,S3,,,712,
2302A,STORAGE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S3,,,812,
2302B,STAFF TOILET,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J2,H2,S2,,,112,
2304,SPECIAL EDUCATION 6-8,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2305,RESOURCE,3'-0",7'-0",1 3/4",HG,SCWD,HM,25B,J1,H4,,,,712,
2306,GRADE 6,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2307,GRADE 6,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2308,GRADE 8,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2309,GRADE 7,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2310,MECH,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J1,H1,S1,,,118,
2311,MECH,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,S1,,,118,
2312,GRADE 8,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
2313,GRADE 7,3'-0",7'-0",1 3/4",HG,SCWD,HM,3,J1,H1,,,,713,
C100,CORRIDOR,3'-0",7'-0",1 3/4",HG,SCWD,HM,28,J1,H1,,,,713,
C100A,CORRIDOR,3'-0",7'-0",1 3/4",HG,SCWD,HM,2,J2,H2,,,,716,
C130A,CORRIDOR,6'-0",7'-0",1 3/4",FG2,ALUM,ALUM,SF14,J16,H17,,,,421,
C130B,CORRIDOR,6'-0",7'-0",1 3/4",FG2,ALUM,ALUM,SF14,J16,H17,,,,420,
C140,CORRIDOR,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,213,
C172A,CORRIDOR,8'-0",7'-10",1 3/4",NV,HM,HM,1,J1,H1,,,,
C172B,CORRIDOR,8'-0",7'-0",1 3/4",NV,SCWD,HM,1,J1,H3,,,,220,
C172C,CORRIDOR,8'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H3,,,,220,
C172D,VESTIBULE,7'-0",7'-0",1 3/4",F,ALUM,ALUM,SF15,J16,H16,,,,420,
ST6,VESTIBULE,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,,,811,
ST11,CORRIDOR,8'-0",7'-10",1 3/4",NV,HM,HM,1,J13,H13,S5,90 MIN,90 MIN,326,
ST11A,CORRIDOR,8'-0",7'-10",1 3/4",NV,HM,HM,1,J1,H1,,60 MIN,60 MIN,326,
ST12,CORRIDOR,8'-0",7'-10",1 3/4",NV,HM,HM,1,J1,H1,,60 MIN,60 MIN,324,
ST21,STAIR 2,6'-0",7'-0",1 3/4",NV,SCWD,HM,1,J13,H13,,60 MIN,60 MIN,324,
ST21A,STAIR 2,3'-0",7'-0",1 3/4",F,HM,HM,1,J1,H1,,60 MIN,60 MIN,811,
ST22,STAIR 2,6'-0",7'-0",1 3/4",NV,SCWD,HM,1,J13,H13,,60 MIN,60 MIN,324,
ST31,STAIR 3,6'-0",7'-0",1 3/4",NV,SCWD,HM,1,J13,H13,,60 MIN,60 MIN,324,
ST32,STAIR 3,6'-0",7'-0",1 3/4",NV,SCWD,HM,1,J13,H13,,60 MIN,60 MIN,324,
ST51,STAIR 5,3'-0",7'-0",1 3/4",F,SCWD,HM,1,J1,H1,,60 MIN,60 MIN,811,
ST52,STAIR 5,3'-0",7'-0",1 3/4",F,HM,HM,1,J1,H1,,60 MIN,60 MIN,114,
X1,VESTIBULE,6'-0",7'-6",1 3/4",FG2,ALUM,ALUM,CW1A,,,,,,,
X2,VESTIBULE,6'-0",7'-6",1 3/4",FG2,ALUM,ALUM,CW1A,,,,,,440,
X3,VESTIBULE,6'-0",7'-6",1 3/4",FG2,ALUM,ALUM,CW1A,,,,,,440,
X5,CORRIDOR,3'-0",7'-0",1 3/4",HG,SCWD,HM,1,J9,H9,,,,319,
X6,COMMUNITY LEARNING CENTER,3'-0",7'-6",1 3/4",F,ALUM,ALUM,SF8,,,,,,,319
X7,GYMNASIUM,6'-0",7'-0",1 3/4",HG,HM,HM,1,J9,H9,,,,323,
X8,GYMNASIUM,6'-0",7'-6",1 3/4",HG,ALUM,ALUM,CW4,,,,,,440,
X9,KITCHEN,4'-0",7'-0",1 3/4",F,HM,HM,1,J9,H9,,,,817,
X10,CAN WASH,3'-0",7'-0",1 3/4",F,HM,HM,1,J9,H9,,,,817,
X11,RECEIVING,6'-0",7'-0",1 3/4",NV,HM,HM,1,J9,H9,,,,621,
X12,ELECTRICAL,3'-0",7'-0",1 3/4",F,HM,HM,1,J9,H9,,,,316,
X13,KINDERGARTEN,3'-9",7'-8",1 3/4",FG2,ALUM,ALUM,SF9,J9,H9,,,,412,
X14,KINDERGARTEN,3'-9",7'-8",1 3/4",FG2,ALUM,ALUM,SF9,J9,H9,,,,412,
X15,KINDERGARTEN,3'-9",7'-8",1 3/4",FG2,ALUM,ALUM,SF9,J9,H9,,,,412,
X16,STAIR 3,6'-3",7'-6",1 3/4",FG2,ALUM,ALUM,CW2,J9,H9,,,,441,
X17,,3'-9",7'-8",1 3/4",FG2,ALUM,ALUM,SF9,J9,H9,,,,412,
X18,PRE-K,3'-9",7'-8",1 3/4",FG2,ALUM,ALUM,SF9,J9,H9,,,,412,
X19,,3'-9",7'-8",1 3/4",FG2,ALUM,ALUM,SF9,J9,H9,,,,412,
X20,VESTIBULE,7'-0",7'-6",1 3/4",F,ALUM,ALUM,CW3,J9,H9,,,,422,
X22,CORRIDOR,3'-0",7'-0",1 3/4",HG,HM,HM,1,,,,,60 MIN,612,
X23,MEDIA CENTER,3'-0",8'-0",1 3/4",FG2,ALUM,ALUM,SF12D,,,,,,412,
X24,OUTDOOR STORAGE,4'-0",7'-0",1 3/4",F,HM,HM,1,J9,H9,,,,817,
X25,OUTDOOR STORAGE,3'-0",7'-0",1 3/4",F,HM,HM,1,J9,H9,,,,817,
X30,MECHANICAL ROOM - GYM,3'-0",7'-0",1 3/4",F,HM,HM,1,J9,H9,,,,612,
