RM_NO,NAME,COLOR_SCHEME,FLOOR,BASE,WALL_A,WALL_B,WALL_C,WALL_D,CLG_MATL,REMARKS
1205,PSYCHOLOGIST,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1206,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1207,FLEX OFFICE,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1208,ELECTRICAL,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1209,OFFICE,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1210,STAFF TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1211,OFFICE,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1300,DINING,,BBT,RST,PTD,PTD/AWP1,PTD,PTD,"APC3/APC4/GYP/EXP","2, 7, 20"
1301,WOMEN,,PT,CT,CT,CT,CT,CT,GYP,15
1301A,TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1302,MEN,,PT,CT,CT,CT,CT,CT,GYP,15
1302A,CUSTODIAL,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1303,FURNITURE STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1304,PLATFORM,,WD/BBT,RST,PTD,PTD,PTD,PTD,EXP,"3, 7"
1304A,PLATFORM STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1304B,PLATFORM STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,EXP,
1400,LOCKERS/SHOWER/TOILET,,PT,CT,CT,CT,CT,CT,GYP,"4, 15"
1402,WATER SERVICE,,CONC,NONE,PTD,PTD,PTD,PTD,APC,
1403,CUSTODIAL,,CONC,NONE,PTD,PTD,PTD,PTD,APC,
1404,FIRE PUMP,,CONC,NONE,PTD,PTD,PTD,PTD,GYP2,
1405,EMERGENCY ELECTRICAL,,CONC,NONE,PTD,PTD,PTD,PTD,GYP2,
1406,CENTRAL STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1407,ELECTRICAL,,CONC,NONE,PTD,PTD,PTD,PTD,GYP2,
1408,OPERATIONS OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1408x,RECEIVING,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1409,OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1410,TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1410A,LOCKER,,PT,CT,CT,CT,CT,CT,GYP,
1411,SOAP STORAGE,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,GYP,
1412,KITCHEN,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,FRP,
1413,SERVING,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,FRP,
1414,DISH/TRAY RETURN,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,FRP,
1415,WALK-IN COOLER,,,,,,,,,SEE SPECIFICATION
1416,WALK-IN FREEZER,,,,,,,,,SEE SPECIFICATION
1417,DRY STORAGE,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,FRP,
1418,PANTRY,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,FRP,
1419,CORRIDOR,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,FRP,
1500,GYMNASIUM,,WD,VRB,PTD/AWP1,PTD/AWP1,PTD/AWP1,PTD/AWP1,EXP,"7, 9, 17"
1501,SECURITY OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1503,OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1504,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1511,P.E. OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1600,COMMUNITY LEARNING CENTER,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1601,CONFERENCE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1602,OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1603,OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1604,FAMILY RESOURCE ROOM,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1605,OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1606,CLOSET,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1607,TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1608,PANTRY,,EPOXY,EPOXY,PTD,PTD,PTD,PTD,FRP,
1609,CUSTODIAL,,,,,,,,,,
1700,MEDIA CENTER,,CPT,RST,PTD,PTD,PTD/DWC,PTD,"EXP/APC2/APC4/GYP","2, 7"
1701,WORKROOM/STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1703,LARGE REHEARSAL,,BBT,RST,PTD/AWP2,PTD/AWP2,PTD/AWP2,PTD/AWP2,APC3/DPC,7
1704,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1705,SMALL REHEARSAL,,BBT,RST,PTD/AWP2,PTD/AWP2,PTD/AWP2,PTD/AWP2,APC3/DPC,7
1710,OT/PT,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1710A,TOILET,,PT,CT,CT,CT,CT,CT,GYP,
1710B,OT/PT STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1711,SP. ED. OFFICE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1711A,SP. ED. STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1720,CUSTODIAL,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1721,ART STUDIO,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1721A,KILN,,CONC2,RST,PTD,PTD,PTD,PTD,APC,
1721B,ART STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1722,TECH ED LAB,,BBT,RST,PTD,PTD,PTD,PTD/DWC,APC,
1722A,SUPPLY STORAGE/IT ADMIN,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1800,TELECOM/UTILITY,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1801,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1802,PLANNING,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1802A,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1802B,STAFF TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1803,FACULTY LOUNGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1803A,STAFF TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1804,ELECTRICAL,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1805,GRADE 3,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1805A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1805E,GYM STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1805F,LOCKERS/SHOWER/TOILET,,PT,CT,CT,CT,CT,CT,GYP,"4, 15"
1805G,LOCKERS/SHOWER/TOILET,,PT,CT,CT,CT,CT,CT,GYP,"4, 15"
1805H,LOCKERS/SHOWER/TOILET,,PT,CT,CT,CT,CT,CT,GYP,"4, 15"
1806,RESOURCE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1807,GRADE 1,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1807A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1808,GRADE 3,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1808A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1809,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1810,GRADE 2,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1810A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1811,GRADE 1,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1811A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1812,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1813,GRADE 2,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1813A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1820,COLLABORATIVE LEARNING,,BBT,RST,PTD,PTD,PTD,PTD,APC2/APC4/GYP,
1900,PLANNING,,CPT,RST,PTD,PTD,PTD,PTD,APC,
1900A,STAFF TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1902,SPECIAL EDUCATION PK-2,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1902A,TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1903A,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
1904,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1905,PRE-K,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1905A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1906,RESOURCE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1907,PRE-K,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1907A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1908,KINDERGARTEN,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1908A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1909,PRE-K,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1909A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1910,KINDERGARTEN,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1910A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1911,KINDERGARTEN,,BBT,RST,PTD,PTD,PTD,PTD,APC,
1911A,PK-2 TOILET,,PT,CT,CT,CT,CT,CT,GYP,15
1920,COLLABORATIVE LEARNING,,BBT,RST,PTD,PTD,PTD,PTD,APC2/APC4/GYP,
2000,SCIENCE LAB,,BBT,RST,PTD,PTD,PTD,PTD,APC,
2000A,PREP/STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,APC,
2100,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,EXP,
2101,MECHANICAL ROOM - CENTRAL,,CONC,NONE,PTD,PTD,PTD,PTD,,
2200,FLEX,,BBT,RST,PTD,PTD,PTD,PTD,,
2201,WOMEN,,PT,CT,CT,CT,CT,CT,,
2202,TOILET,,PT,CT,CT,CT,CT,CT,,
2203,MEN,,PT,CT,CT,CT,CT,CT,,
2203B,CUSTODIAL,,,,,,,,,,
2204,PLANNING,,CPT,RST,PTD,PTD,PTD,PTD,,
2204A,STAFF TOILET,,PT,CT,CT,CT,CT,CT,,
2204B,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,,
2205,MECH/UTILITY,,CONC,NONE,PTD,PTD,PTD,PTD,,
2206,SPECIAL EDUCATION 3-5,,BBT,RST,PTD,PTD,PTD,PTD,,
2207,ELEVATOR CONTROL,,CONC,NONE,PTD,PTD,PTD,PTD,,
2208,RESOURCE,,BBT,RST,PTD,PTD,PTD,PTD,,
2209,FLEX,,BBT,RST,PTD,PTD,PTD,PTD,,
2210,GRADE 5,,BBT,RST,PTD,PTD,PTD,PTD,,
2211,GRADE 4,,BBT,RST,PTD,PTD,PTD,PTD,,
2212,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,,
2213,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,,
2214,GRADE 5,,BBT,RST,PTD,PTD,PTD,PTD,,
2215,GRADE 4,,BBT,RST,PTD,PTD,PTD,PTD,,
2220,COLLABORATIVE LEARNING,,BBT,RST,PTD,PTD,PTD,PTD,,
2300,FLEX,,BBT,RST,PTD,PTD,PTD,PTD,,
2300E,TOILET,,PT,CT,CT,CT,CT,CT,,
2301,WOMEN,,PT,CT,CT,CT,CT,CT,,
2302,PLANNING,,CPT,RST,PTD,PTD,PTD,PTD,,
2302A,STORAGE,,BBT,RST,PTD,PTD,PTD,PTD,,
2302B,STAFF TOILET,,PT,CT,CT,CT,CT,CT,,
2303,MEN,,PT,CT,CT,CT,CT,CT,,
2304,SPECIAL EDUCATION 6-8,,BBT,RST,PTD,PTD,PTD,PTD,,
2305,RESOURCE,,BBT,RST,PTD,PTD,PTD,PTD,,
2306,GRADE 6,,BBT,RST,PTD,PTD,PTD,PTD,,
2307,GRADE 6,,BBT,RST,PTD,PTD,PTD,PTD,,
2308,GRADE 8,,BBT,RST,PTD,PTD,PTD,PTD,,
2309,GRADE 7,,BBT,RST,PTD,PTD,PTD,PTD,,
2310,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,,
2311,MECH,,CONC,NONE,PTD,PTD,PTD,PTD,,
2312,GRADE 8,,BBT,RST,PTD,PTD,PTD,PTD,,
2313,GRADE 7,,BBT,RST,PTD,PTD,PTD,PTD,,
2320,COLLABORATIVE LEARNING,,BBT,RST,PTD,PTD,PTD,PTD,,
2501,MECHANICAL ROOM - GYM,,CONC,NONE,PTD,PTD,PTD,PTD,,
C15A,VESTIBULE,,RM,RST,PTD,PTD,PTD,PTD,,
C100,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C110,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C120,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C130,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD/P,,
C131,CORRIDOR,,BBT,RST,PTD,PTD,PTD,-,,
C140,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C160,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C161,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C171,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C172,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C180,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C190,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C200,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C210,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C220,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
C230,CORRIDOR,,BBT,RST,PTD,PTD,PTD,PTD,,
E1,ELEVATOR,,BBT,NONE,NONE/PTD,NONE/PTD,NONE/PTD,NOND,,
E100,CAN WASH,,CONC,NONE,PTD,PTD,PTD,PTD,,
E101,OUTDOOR STORAGE,,CONC,NONE,PTD,PTD,PTD,PTD,,
E102,OUTDOOR STORAGE,,CONC,NONE,PTD,PTD,PTD,PTD,,
RA21,RAMP 2,,BBT,RST,PTD,PTD,PTD,PTD,,
ST6,STAIR 6,,,,,,,,,,
ST12,STAIR 1,,BBT/RBR/CONC3,RST,PTD,WCV,PTD,PTD,,
ST20,STAIR 2,,BBT/RBR,RST,PTD,PTD,PTD,PTD,,
ST21,STAIR 2,,BBT/RBR,RST,PTD,PTD,PTD,PTD,,
ST22,STAIR 2,,BBT/RBR,RST,PTD,PTD,PTD,PTD,,
ST31,STAIR 3,,BBT/RBR,RST,PTD,PTD,PTD,PTD,,
ST32,STAIR 3,,BBT/RBR,RST,PTD,PTD,PTD,PTD,,
ST42,STAIR 4,,CONC,NONE,PTD,PTD,PTD,PTD,,
ST51,STAIR 5,,CONC,NONE,PTD,PTD,PTD,PTD,,
ST52,STAIR 5,,CONC,NONE,PTD,PTD,PTD,PTD,,
V100,VESTIBULE,,RM/VCT,RST,PTD,PTD/WCV,PTD,PTD,,
V1600,VESTIBULE,,CONC2,RST,PTD,PTD,PTD,PTD,,
V1806,VESTIBULE,,CONC2,RST,PTD,PTD,PTD,PTD,,
