file_path,file_name,file_type,category
01 - Drawings\Architectural & Structural\A-4.7 - WALL SECTIONS MEDIA AND CENTRAL MECH. ROOM.pdf,A-4.7 - WALL SECTIONS MEDIA AND CENTRAL MECH. ROOM.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.8 - WALL SECTIONS CLASSROOM WING.pdf,A-4.8 - WALL SECTIONS CLASSROOM WING.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-4.9 - WALL SECTIONS CLASSROOM WING.pdf,A-4.9 - WALL SECTIONS CLASSROOM WING.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-5.1 - ENLARGED STAIR PLANS AND SECTIONS.pdf,A-5.1 - ENLARGED STAIR PLANS AND SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-5.10 - TYPICAL DETAILS.pdf,A-5.10 - TYPICAL DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-5.2 - ENLARGED STAIR PLANS AND SECTIONS.pdf,A-5.2 - ENLARGED STAIR PLANS AND SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-5.3 - ENLARGED STAIR PLANS AND SECTIONS.pdf,A-5.3 - ENLARGED STAIR PLANS AND SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-5.4 - STAIR DETAILS AND ELEVATOR PLANS AND SECTION.pdf,A-5.4 - STAIR DETAILS AND ELEVATOR PLANS AND SECTION.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-5.5 - ENLARGED TOILET PLANS.pdf,A-5.5 - ENLARGED TOILET PLANS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-5.6 - ENLARGED PLAN DETAILS.pdf,A-5.6 - ENLARGED PLAN DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-6.1 - INTERIOR ELEVATIONS.pdf,A-6.1 - INTERIOR ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-6.2 - INTERIOR ELEVATIONS.pdf,A-6.2 - INTERIOR ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-6.3 - INTERIOR ELEVATIONS.pdf,A-6.3 - INTERIOR ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-6.4_03-13-2017_BID SET - INTERIOR ELEVATIONS.pdf,A-6.4_03-13-2017_BID SET - INTERIOR ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-6.5 - INTERIOR ELEVATIONS.pdf,A-6.5 - INTERIOR ELEVATIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-7.1 - PARTIAL FIRST FLOOR REFLECTED CEILING PLAN AREA A.pdf,A-7.1 - PARTIAL FIRST FLOOR REFLECTED CEILING PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-7.2 - PARTIAL FIRST FLOOR REFLECTED CEILING PLAN AREA B.pdf,A-7.2 - PARTIAL FIRST FLOOR REFLECTED CEILING PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-7.3 - PARTIAL FIRST FLOOR REFLECTED CEILING PLAN AREA C.pdf,A-7.3 - PARTIAL FIRST FLOOR REFLECTED CEILING PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-7.4 - PARTIAL SECOND FLR REFLECTED CEILING PLAN AREA A.pdf,A-7.4 - PARTIAL SECOND FLR REFLECTED CEILING PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-7.5 - PARTIAL SECOND FLR REFLECTED CEILING PLAN AREA B.pdf,A-7.5 - PARTIAL SECOND FLR REFLECTED CEILING PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-7.6 - PARTIAL SECOND FLR REFLECTED CEILING PLAN AREA C.pdf,A-7.6 - PARTIAL SECOND FLR REFLECTED CEILING PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-7.7 - DATE DESCRIPTION.pdf,A-7.7 - DATE DESCRIPTION.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-8.1 - ALTERNATES ENTRY CAN______.pdf,A-8.1 - ALTERNATES ENTRY CAN______.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-8.2 - ALTERNATES ENTRY CANOPY DETAILS.pdf,A-8.2 - ALTERNATES ENTRY CANOPY DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.1 - PARTIAL FIRST FLOOR FURNISHING PLAN AREA A.pdf,A-9.1 - PARTIAL FIRST FLOOR FURNISHING PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.2 - PARTIAL FIRST FLOOR FURNISHING PLAN AREA B.pdf,A-9.2 - PARTIAL FIRST FLOOR FURNISHING PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.3 - PARTIAL FIRST FLOOR FURNISHING PLAN AREA C.pdf,A-9.3 - PARTIAL FIRST FLOOR FURNISHING PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.4 - PARTIAL SECOND FLOOR FURNISHING PLAN AREA B.pdf,A-9.4 - PARTIAL SECOND FLOOR FURNISHING PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.5 - PARTIAL SECOND FLOOR FURNISHING PLAN AREA C.pdf,A-9.5 - PARTIAL SECOND FLOOR FURNISHING PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.6 - MILLWORK DETAILS.pdf,A-9.6 - MILLWORK DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.7 - MILLWORK DETAILS.pdf,A-9.7 - MILLWORK DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\A-9.8H - MILLWORK DETAILS WONDER WALL.pdf,A-9.8H - MILLWORK DETAILS WONDER WALL.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\Architectural-Structural-Holabird-Bid-Set-Drawings.pdf,Architectural-Structural-Holabird-Bid-Set-Drawings.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\K-1.1 - FOOD SERVICE EQUIPMENT PLAN.pdf,K-1.1 - FOOD SERVICE EQUIPMENT PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\K-1.2 - FOOD SERVICE ELECTRICAL SPOT CONNECTION PLAN.pdf,K-1.2 - FOOD SERVICE ELECTRICAL SPOT CONNECTION PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\K-1.3 - FOOD SERVICE PLUMBING SPOT CONNECTION PLAN.pdf,K-1.3 - FOOD SERVICE PLUMBING SPOT CONNECTION PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\K-1.4 - FOOD SERVICE VENTILATION SPOT CONNECTION PLAN.pdf,K-1.4 - FOOD SERVICE VENTILATION SPOT CONNECTION PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-0.0H - GENERAL NOTES.pdf,S-0.0H - GENERAL NOTES.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-0.1H - INSPECTION TABLES.pdf,S-0.1H - INSPECTION TABLES.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.1H - FOUNDATION AND SLAB ON GRADE PLAN AREA A.pdf,S-1.1H - FOUNDATION AND SLAB ON GRADE PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.2H - FOUNDATION AND SLAB ON GRADE PLAN AREA B.pdf,S-1.2H - FOUNDATION AND SLAB ON GRADE PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.3H - FOUNDATION AND SLAB ON GRADE PLAN AREA C.pdf,S-1.3H - FOUNDATION AND SLAB ON GRADE PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.4H - PENTHOUSE FLOOR AND LOW ROOF FRAMING PLAN AREA A.pdf,S-1.4H - PENTHOUSE FLOOR AND LOW ROOF FRAMING PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.5H - 2ND FLOOR AND LOW ROOF FRAMING PLAN AREA B.pdf,S-1.5H - 2ND FLOOR AND LOW ROOF FRAMING PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.6H - 2ND FLOOR AND PENTHOUSE FLOOR FRAMING PLAN.pdf,S-1.6H - 2ND FLOOR AND PENTHOUSE FLOOR FRAMING PLAN.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.7H - ROOF FRAMING PLAN AREA A.pdf,S-1.7H - ROOF FRAMING PLAN AREA A.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.8H - ROOF FRAMING PLAN AREA B.pdf,S-1.8H - ROOF FRAMING PLAN AREA B.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-1.9H - ROOF FRAMING PLAN AREA C.pdf,S-1.9H - ROOF FRAMING PLAN AREA C.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-3.1H - TYPICAL DETAILS.pdf,S-3.1H - TYPICAL DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-3.2H - TYPICAL DETAILS.pdf,S-3.2H - TYPICAL DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-3.3H - TYPICAL DETAILS.pdf,S-3.3H - TYPICAL DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-3.4H - TYPICAL DETAILS.pdf,S-3.4H - TYPICAL DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-3.5H - TYPICAL DETAILS.pdf,S-3.5H - TYPICAL DETAILS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-4.1H - SECTIONS.pdf,S-4.1H - SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-4.2H - SECTIONS.pdf,S-4.2H - SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-5.1H - DATE DESCRIPTION.pdf,S-5.1H - DATE DESCRIPTION.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-5.2H - SECTIONS.pdf,S-5.2H - SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-5.3H_03-13-2017_BID SET - SECTIONS.pdf,S-5.3H_03-13-2017_BID SET - SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\S-5.4H - SECTIONS.pdf,S-5.4H - SECTIONS.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\TS-1H - TITLE SHEET.pdf,TS-1H - TITLE SHEET.pdf,.pdf,Drawing
01 - Drawings\Architectural & Structural\TS-2H - LIST OF DRAWINGS.pdf,TS-2H - LIST OF DRAWINGS.pdf,.pdf,Drawing
01 - Drawings\Civil & Landscape\Civil-Landscape-Holabird-Bid-Set-Drawings.pdf,Civil-Landscape-Holabird-Bid-Set-Drawings.pdf,.pdf,Drawing
01 - Drawings\MEP\MEP-Holabird-Bid-Set-Drawings.pdf,MEP-Holabird-Bid-Set-Drawings.pdf,.pdf,Drawing
02 - Specifications\Holabird-Bid-Specs-Vol-1.pdf,Holabird-Bid-Specs-Vol-1.pdf,.pdf,Specification
03 - Contract Documents\General Conditions AIA A201.pdf,General Conditions AIA A201.pdf,.pdf,Contract
03 - Contract Documents\Insurance Certificates\COI - Hensel Phelps.pdf,COI - Hensel Phelps.pdf,.pdf,Contract
03 - Contract Documents\Owner-GC Agreement.pdf,Owner-GC Agreement.pdf,.pdf,Contract
04 - Addenda\Addendum 01 - 2025-06-15.pdf,Addendum 01 - 2025-06-15.pdf,.pdf,Addendum
04 - Addenda\Addendum 02 - 2025-07-02.pdf,Addendum 02 - 2025-07-02.pdf,.pdf,Addendum
05 - RFIs\RFI Log.xlsx,RFI Log.xlsx,.xlsx,RFI
05 - RFIs\RFI-001 Foundation Depth at Grid B-4.pdf,RFI-001 Foundation Depth at Grid B-4.pdf,.pdf,RFI
05 - RFIs\RFI-002 Door Hardware Spec Clarification.pdf,RFI-002 Door Hardware Spec Clarification.pdf,.pdf,RFI
05 - RFIs\RFI-003 CMU Reinforcement Spacing.pdf,RFI-003 CMU Reinforcement Spacing.pdf,.pdf,RFI
05 - RFIs\RFI-004 Roof Drain Location Conflict.pdf,RFI-004 Roof Drain Location Conflict.pdf,.pdf,RFI
06 - Submittals\03 30 00 - Cast-in-Place Concrete\Submittal-001 Concrete Mix Design.pdf,Submittal-001 Concrete Mix Design.pdf,.pdf,Submittal
06 - Submittals\08 11 00 - Metal Doors and Frames\Submittal-005 Door Schedule Shop Drawings.pdf,Submittal-005 Door Schedule Shop Drawings.pdf,.pdf,Submittal
06 - Submittals\09 91 00 - Painting\Submittal-012 Paint Color Schedule.pdf,Submittal-012 Paint Color Schedule.pdf,.pdf,Submittal
06 - Submittals\Submittal Log.xlsx,Submittal Log.xlsx,.xlsx,Submittal
07 - Meeting Minutes\OAC Meeting 2025-08-05.docx,OAC Meeting 2025-08-05.docx,.docx,Meeting Minutes
07 - Meeting Minutes\OAC Meeting 2025-08-19.docx,OAC Meeting 2025-08-19.docx,.docx,Meeting Minutes
07 - Meeting Minutes\OAC Meeting 2025-09-02.docx,OAC Meeting 2025-09-02.docx,.docx,Meeting Minutes
07 - Meeting Minutes\OAC Meeting 2025-09-16.docx,OAC Meeting 2025-09-16.docx,.docx,Meeting Minutes
08 - Daily Reports\Daily Log 2025-09-15.xlsx,Daily Log 2025-09-15.xlsx,.xlsx,Daily Report
08 - Daily Reports\Daily Log 2025-09-16.xlsx,Daily Log 2025-09-16.xlsx,.xlsx,Daily Report
08 - Daily Reports\Daily Log 2025-09-17.xlsx,Daily Log 2025-09-17.xlsx,.xlsx,Daily Report
09 - Change Orders\CO-001 Foundation Redesign.docx,CO-001 Foundation Redesign.docx,.docx,Change Order
09 - Change Orders\Change Order Log.xlsx,Change Order Log.xlsx,.xlsx,Change Order
09 - Change Orders\PCO-001 Unforeseen Soil Conditions.docx,PCO-001 Unforeseen Soil Conditions.docx,.docx,Change Order
10 - Pay Applications\Pay App #1 - 202508.xlsx,Pay App #1 - 202508.xlsx,.xlsx,Pay Application
10 - Pay Applications\Pay App #2 - 202509.xlsx,Pay App #2 - 202509.xlsx,.xlsx,Pay Application
11 - Photos\2025-08 Demolition\IMG_001 Existing Structure.jpg,IMG_001 Existing Structure.jpg,.jpg,Photo
11 - Photos\2025-08 Demolition\IMG_002 Site Clearing.jpg,IMG_002 Site Clearing.jpg,.jpg,Photo
11 - Photos\2025-09 Foundation\IMG_003 Excavation Grid A.jpg,IMG_003 Excavation Grid A.jpg,.jpg,Photo
11 - Photos\2025-09 Foundation\IMG_004 Rebar Placement.jpg,IMG_004 Rebar Placement.jpg,.jpg,Photo
11 - Photos\Progress Photo Log.xlsx,Progress Photo Log.xlsx,.xlsx,Photo
12 - Schedule\3-Week Lookahead 2025-09-15.xlsx,3-Week Lookahead 2025-09-15.xlsx,.xlsx,Schedule
12 - Schedule\Master Schedule Rev 3.xlsx,Master Schedule Rev 3.xlsx,.xlsx,Schedule
13 - Correspondence\Email Log.xlsx,Email Log.xlsx,.xlsx,Correspondence
13 - Correspondence\Letter to Architect - RFI Follow-up 2025-08-20.docx,Letter to Architect - RFI Follow-up 2025-08-20.docx,.docx,Correspondence
13 - Correspondence\Notice of Delay - Structural Steel 2025-09-10.docx,Notice of Delay - Structural Steel 2025-09-10.docx,.docx,Correspondence
14 - Punch List\Punch List Template.xlsx,Punch List Template.xlsx,.xlsx,Punch List
